trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
191,0.1597346374724227,True,49,21,66.0,23.0,14,5,4.0,5,25,2.0,3.1,1.0,0.026000000000000002,0.7,10.373839422999772,1.0976486381154462,0.5039216090008711,11.482831916375446,181.0,48.0,133.0,26.519337016574585,11660.08,10622.78,1037.2999999999993,1371.16,0.0,1.0,9.916870577999997,1.1835347809430747,0.9552889669237361,12.919797540697534,91.0,26.0,65.0,28.571428571428573,6395.099999999999,5403.389999999999,991.71,695.11,0.0,3.0,0.029750611733999992,0.045883695235768684,-0.0,0.07222222222222223,0.010373839422999773,0.004882431905772311,-0.003378163048340292,
192,0.112312886293779,True,43,21,65.0,26.0,14,6,3.9000000000000004,5,25,2.0,3.1,1.0,0.026000000000000002,0.7,5.150724725999953,1.047446438868736,0.2955106074022166,13.480734603284608,182.0,49.0,133.0,26.923076923076923,11370.89,10855.82,515.0699999999997,1380.62,0.0,1.0,11.583130934499968,1.2219097464348387,1.0952933203307382,11.75802038935585,91.0,28.0,63.0,30.76923076923077,6378.320000000001,5219.96,1158.3600000000006,695.3,0.0,2.0,0.0347493928034999,0.055477436608709685,-0.0,0.07222222222222223,0.0051507247259999535,0.002372321943436795,-0.05765921201008956,
193,0.1188709173951515,True,49,21,65.0,24.0,13,4,4.0,4,25,2.0,3.0,1.0,0.027,0.7,16.649659112999835,1.152655944413728,0.7549571954196777,14.73610373650629,188.0,50.0,138.0,26.595744680851062,12571.2,10906.29,1664.9099999999999,1498.28,0.0,1.0,8.747854483999891,1.1711657774099444,0.889582351117692,12.660620879174381,91.0,26.0,65.0,28.571428571428573,5985.84,5111.01,874.8299999999999,690.35,0.0,3.0,0.02624356345199967,0.04279144435248611,-0.0,0.07222222222222223,0.016649659112999836,0.007632797220686405,-0.046668768965242746,
194,0.09773635870809697,True,54,21,67.0,44.0,15,5,3.9000000000000004,5,20,1.9000000000000001,2.9000000000000004,1.0,0.028,0.7,4.558337609499758,1.0394659827662638,0.27684647611357754,14.253202831717715,204.0,54.0,150.0,26.470588235294116,12005.25,11549.440000000002,455.8099999999977,1547.96,0.0,2.0,9.139791599499931,1.1819421387253322,0.9294977092068748,16.07355611545937,94.0,30.0,64.0,31.914893617021278,5937.77,5023.74,914.0300000000007,698.39,0.0,2.0,0.027419374798499794,0.04548553468133304,-0.006134606374053533,0.0746031746031746,0.004558337609499758,0.0019732991383131894,-0.050168755748669885,
195,0.028142176553687864,True,50,21,63.0,25.0,14,7,3.7,16,23,2.0,3.2,1.0,0.03,0.65,36.87218265049987,1.3605859831500509,1.4387610288904347,9.375034836062563,165.0,47.0,118.0,28.484848484848484,13912.740000000002,10225.55,3687.1900000000023,1342.09,0.0,2.0,3.825664689499918,1.0802845720401673,0.4496789835785827,11.093576807267649,80.0,22.0,58.0,27.5,5147.61,4765.05,382.5599999999995,533.39,0.0,3.0,0.011476994068499754,0.020071143010041814,-0.0,0.06349206349206349,0.03687218265049987,0.018029299157502544,-0.12179950582491961,
196,0.15736874137816617,True,60,20,64.0,25.0,13,13,4.0,4,24,1.9000000000000001,3.7,1.0,0.027,0.7,7.648732911499864,1.0735400587851265,0.38348144975770965,13.514933808381945,187.0,46.0,141.0,24.59893048128342,11165.449999999999,10400.59,764.8599999999988,1428.38,0.0,3.0,14.837244383000069,1.3471446219501924,1.3869276736368388,14.894230744599234,79.0,22.0,57.0,27.848101265822784,5757.75,4274.04,1483.71,585.49,0.0,3.0,0.044511733149000206,0.08678615548754809,-0.0,0.0626984126984127,0.007648732911499864,0.003677002939256324,-0.047953295807551005,
197,-1.0053497608525004,False,46,21,64.0,25.0,13,13,3.9000000000000004,4,26,1.3,3.7,1.0,0.027,0.75,-3.2098565115002384,0.9768612960845853,-0.0024795370122410133,32.183121383540474,239.0,50.0,189.0,20.92050209205021,13551.86,13872.86,-321.0,2005.42,0.0,4.0,3.7000058499998523,1.0523415861052405,0.39303524505903564,19.29616562186469,140.0,34.0,106.0,24.285714285714285,7439.15,7069.14,370.0099999999993,1052.14,0.0,4.0,,,,,,,,0.032098565115002385
198,-1.3284681170929704,False,56,20,63.0,24.0,13,13,1.6,4,24,2.0,3.7,1.0,0.026000000000000002,0.5,-0.4822307999999976,0.0,-0.6895532769148986,0.8911278161201208,1.0,0.0,1.0,0.0,0.0,48.22,-48.22,4.97,0.0,0.0,2.5645909709999977,99.0,1.0271251837577178,1.9697631863287084,1.0,1.0,0.0,100.0,256.46,0.0,256.46,5.05,0.0,0.0,,,,,,,,1.9708087025578231
199,-1.2050757356919444,False,52,21,73.0,34.0,12,14,2.4000000000000004,7,23,1.9000000000000001,3.8000000000000003,1.0,0.028,0.7,-6.378774748500001,0.729389206112181,-0.5323000277849964,13.140159083112572,42.0,8.0,34.0,19.047619047619047,1719.3600000000001,2357.26,-637.9000000000001,279.16,0.0,0.0,6.7913398915000105,2.1993042188355383,1.5735962161041652,3.185599864562712,17.0,6.0,11.0,35.294117647058826,1245.4,566.2699999999999,679.1300000000002,123.91,0.0,1.0,,,,,,,,1.2304544141516665
200,0.18685308391740763,True,58,21,64.0,23.0,13,13,3.8000000000000003,4,27,2.0,3.8000000000000003,1.5,0.027,0.7,15.733202396499909,1.104229974514554,0.5308050894769206,18.7516526323148,163.0,40.0,123.0,24.539877300613497,16668.23,15094.890000000001,1573.3399999999983,2037.49,0.0,2.0,21.388326477499906,1.3576122178043666,1.371175287893224,18.841492463075596,72.0,18.0,54.0,25.0,8119.579999999999,5980.78,2138.7999999999993,803.45,0.0,2.0,0.06416497943249971,0.08940305445109165,-0.021951385503289123,0.05714285714285714,0.01573320239649991,0.005211498725727704,-0.022851122727979366,
