trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked
28,-10.0,False,113,18,67.0,43.0,13,7,3.7,7,26,1.2000000000000002,1.5,0.019,0.45,1.5,-37.83980275560002,0.7389396923734982,-1.8025756653417366,38.33664766115141,311.0,120.0,191.0,38.58520900321543,10710.82,14494.849999999999,-3784.029999999999,1649.35,0.0,-3.7706589449001697,0.9421793898689728,-0.28924158962966307,19.041617217955075,137.0,58.0,79.0,42.33576642335766,6144.469999999999,6521.55,-377.08000000000084,867.08,0.0
29,-10.0,False,94,8,71.0,22.0,7,18,4.0,17,22,0.7,2.7,0.015,0.3,3.0,5.939259511349683,1.030642733792089,0.3001850137031066,30.325131620920505,268.0,83.0,185.0,30.970149253731343,19975.330000000005,19381.43,593.9000000000051,2171.43,0.0,-6.640615124949964,0.9196490476588051,-0.3783322623638495,17.95563586847311,104.0,29.0,75.0,27.884615384615383,7600.32,8264.37,-664.0500000000011,882.76,0.0
30,-10.0,False,58,7,63.0,32.0,12,9,2.3,15,50,1.8,3.3000000000000003,0.028,0.55,3.0,16.898340989049956,1.4519359859648373,0.9380451915686975,10.79110272883509,28.0,8.0,20.0,28.571428571428573,5429.05,3739.18,1689.8700000000003,510.86,0.0,-6.231405930449946,0.31574554997968535,-1.7047517746520733,9.243579959577602,8.0,1.0,7.0,12.5,287.54,910.6699999999998,-623.1299999999999,130.89,0.0
31,-10.0,False,90,7,70.0,25.0,8,19,3.9000000000000004,18,20,0.5,3.7,0.005,0.25,4.5,-2.6040304491000277,0.9764235523706339,-0.08888832004392433,13.491219032833065,270.0,64.0,206.0,23.703703703703702,10787.420000000002,11047.89,-260.4699999999975,1511.23,0.0,-6.4481217970500255,0.8610734090820956,-0.847892418560843,9.310066259387611,111.0,24.0,87.0,21.62162162162162,3996.81,4641.66,-644.8499999999999,665.04,0.0
32,-10.0,False,101,9,78.0,26.0,8,16,3.3000000000000003,17,24,0.7,4.0,0.017,0.3,3.5,62.678665233949594,1.2609017799164155,1.3486687408609963,20.602249250225903,204.0,52.0,152.0,25.49019607843137,30291.399999999998,24023.6,6267.799999999999,2447.26,0.0,-13.56552444035,0.7760377199629538,-0.7337564516051374,19.92264372244613,65.0,12.0,53.0,18.46153846153846,4700.67,6057.269999999999,-1356.5999999999985,565.98,0.0
33,-10.0,False,38,20,58.0,24.0,11,13,3.4000000000000004,19,16,0.7,3.1,0.027,0.35,3.0,25.368354059849246,1.0691193840142883,0.6168244718331993,25.317955915994684,315.0,87.0,228.0,27.61904761904762,39238.98,36702.149999999994,2536.830000000009,3489.68,0.0,-41.7800478163501,0.6667198465865669,-2.2226671965931555,47.11854757766215,147.0,33.0,114.0,22.448979591836736,8358.039999999999,12536.060000000001,-4178.020000000002,1085.91,0.0
34,-10.0,False,77,8,72.0,28.0,7,18,2.8,16,21,0.6,3.5,0.013000000000000001,0.25,2.5,2.8231173036000836,1.0451404492135965,0.23795309766828743,16.552886302142856,118.0,30.0,88.0,25.423728813559322,6535.42,6253.15,282.27000000000044,814.65,0.0,-6.877250254150004,0.6737604129110609,-1.048828225270347,7.845684815110762,41.0,10.0,31.0,24.390243902439025,1420.26,2107.96,-687.7,245.26,0.0
35,-10.0,False,24,10,64.0,22.0,10,17,3.7,6,26,1.7000000000000002,2.8,0.025,0.4,1.0,13.20619781099982,1.1893908212304043,0.9210846776247257,5.372385860800699,188.0,57.0,131.0,30.319148936170212,8293.42,6972.83,1320.5900000000001,818.76,0.0,-0.7093549996500224,0.9760493193604148,-0.061735516286711103,9.185099028186643,86.0,26.0,60.0,30.232558139534884,2890.9800000000005,2961.9200000000005,-70.94000000000005,345.05,0.0
36,-10.0,False,48,9,68.0,37.0,9,5,3.8000000000000003,17,14,1.0,3.3000000000000003,0.008,0.55,2.5,2.4643136404998587,1.0143173163212642,0.1925150770514609,15.287504646068214,267.0,68.0,199.0,25.46816479400749,17451.37,17205.039999999997,246.33000000000175,2006.49,0.0,-19.704193103350136,0.7681368840084297,-1.7216914708464623,21.734338778783286,141.0,30.0,111.0,21.27659574468085,6527.8499999999985,8498.29,-1970.4400000000023,980.71,0.0
37,-10.0,False,62,7,57.0,41.0,12,11,3.0,9,39,1.2000000000000002,2.5,0.018000000000000002,0.4,2.0,-2.244594529750084,0.9305052056083737,-0.19288339597797857,9.221106486100052,78.0,25.0,53.0,32.05128205128205,3005.6900000000005,3230.17,-224.47999999999956,588.03,0.0,1.8470872701000551,1.1830516873977899,0.574094834155995,3.022622285485444,25.0,9.0,16.0,36.0,1193.64,1008.95,184.69000000000005,202.6,0.0
38,-10.0,False,30,20,75.0,36.0,14,8,3.5,19,47,0.8,3.1,0.021,0.3,4.5,-47.01613862015048,0.8179575338010499,-0.9092765057313046,55.29645650400279,275.0,66.0,209.0,24.0,21125.879999999997,25827.600000000002,-4701.720000000005,2224.25,0.0,-30.254101529199996,0.8194193926530574,-1.098926463512229,41.30970253821502,168.0,42.0,126.0,25.0,13728.7,16754.18,-3025.4799999999996,1562.6,0.0
39,-10.0,False,142,12,73.0,20.0,21,13,1.5,14,31,1.4,1.9,0.024,0.35,3.0,-1.9082742952999978,0.0,-0.7148645777177792,3.202446259623146,2.0,0.0,2.0,0.0,0.0,190.82,-190.82,20.799999999999997,0.0,,,,,,,,,,,,,
40,-10.0,False,121,10,61.0,30.0,18,4,1.2,8,24,1.9000000000000001,2.2,0.016,0.45,3.5,-4.037696586049969,0.5315994617419145,-0.8520367779767394,6.16549902309075,9.0,2.0,7.0,22.22222222222222,458.26,862.04,-403.78,140.52,0.0,-3.627368376350005,0.0,-3.1732162510390554,3.627368376350005,3.0,0.0,3.0,0.0,0.0,362.74,-362.74,46.519999999999996,0.0
