trial,score,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_net_pnl,tr_gross_profit,tr_gross_loss,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_fees,tr_blocked,va_return_pct,va_net_pnl,va_gross_profit,va_gross_loss,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_fees,va_blocked
221,0.5806549219688945,97,16,61.0,30.0,13,16,3.8000000000000003,19,27,1.6,1.9,0.03,0.6000000000000001,2.5,58.04467070234983,5804.467070234983,23491.460000000003,17686.98,1.328178128770429,1.3962147923720605,23.23592415523488,141.0,59.0,82.0,41.843971631205676,2337.04,0.0,23.904558185599925,2390.4558185599926,8579.199999999999,6188.760000000001,1.3862550817934445,1.523809120508346,14.396815961360469,60.0,30.0,30.0,50.0,978.63,0.0
278,0.5717050811065508,111,15,79.0,34.0,13,15,3.6,16,24,1.6,2.1,0.03,0.6000000000000001,2.5,59.733129503449724,5973.312950344973,32936.26,26962.96,1.221537249619478,1.2152492288860908,25.11417000357182,171.0,66.0,105.0,38.59649122807018,3103.92,0.0,23.55232939205016,2355.232939205016,11876.64,9521.42,1.2473601626648125,1.3092916541802342,17.772725623345043,70.0,28.0,42.0,40.0,1065.51,0.0
272,0.5682894129808366,111,16,63.0,32.0,13,16,3.6,16,26,1.6,2.0,0.03,0.6000000000000001,2.5,60.05189038914972,6005.189038914972,24946.690000000002,18941.499999999996,1.317038777287966,1.388715290660689,27.900003206166456,144.0,59.0,85.0,40.97222222222222,2568.58,0.0,17.6461357403002,1764.6135740300197,8621.14,6856.55,1.2573582924357,1.15683218687495,14.680000869971446,56.0,23.0,33.0,41.07142857142857,893.77,0.0
169,0.5649219195473444,110,16,64.0,29.0,12,15,3.7,19,19,1.9000000000000001,2.6,0.023000000000000003,0.7,2.5,57.11118674934964,5711.118674934964,25540.170000000002,19829.0,1.2880210802360181,1.3194709483658977,29.010159400799303,121.0,42.0,79.0,34.710743801652896,2325.64,0.0,23.45598562000008,2345.5985620000083,10288.33,7942.7,1.295318972137938,1.33514936114712,16.83008101482399,52.0,19.0,33.0,36.53846153846154,923.8,0.0
214,0.5501600438488595,102,16,62.0,30.0,13,16,3.8000000000000003,19,27,1.7000000000000002,2.2,0.029,0.6000000000000001,2.5,51.58849902689966,5158.849902689966,23839.160000000003,18680.25,1.2761692161507476,1.2619619219817344,23.459756372254073,135.0,52.0,83.0,38.51851851851852,2283.13,0.0,32.775177648800145,3277.5177648800145,10002.419999999998,6724.92,1.487366392462661,1.9285519330177159,12.137407789475144,58.0,26.0,32.0,44.827586206896555,984.64,0.0
234,0.5485649820279944,103,16,61.0,30.0,13,16,3.6,18,27,1.6,2.3,0.028,0.6000000000000001,2.5,54.52224608269973,5452.224608269973,22998.65,17546.41,1.3107325088151935,1.3979580200115433,23.364720106874657,125.0,48.0,77.0,38.4,2258.23,0.0,21.979369188999936,2197.9369188999935,7852.33,5654.389999999999,1.3887139019416772,1.53487241761598,11.4497426641668,49.0,20.0,29.0,40.816326530612244,824.3100000000001,0.0
182,0.5431596790905382,107,16,62.0,31.0,12,17,3.7,18,21,1.8,2.3,0.025,0.65,2.5,53.476205167749704,5347.62051677497,22006.270000000004,16658.63,1.3210131925614532,1.4660836411609024,21.556877344923457,111.0,43.0,68.0,38.73873873873874,2181.11,0.0,21.140247200699942,2114.024720069994,7547.07,5433.0599999999995,1.3891011695066868,1.5183023146493981,9.356236858907947,47.0,19.0,28.0,40.42553191489362,819.41,0.0
199,0.5423510794804091,107,16,62.0,30.0,13,17,3.6,19,23,1.7000000000000002,2.3,0.027,0.6000000000000001,2.5,50.13342102944971,5013.342102944971,22231.19,17217.88,1.291168831470541,1.3488815319811407,20.63030609282129,115.0,43.0,72.0,37.391304347826086,2115.22,0.0,31.61872417605,3161.872417605,8799.570000000002,5637.68,1.5608494983752184,2.030900845348958,9.111810840810094,50.0,21.0,29.0,42.0,859.45,0.0
203,0.5413284747269629,113,16,63.0,30.0,13,16,3.7,19,20,1.6,2.2,0.028,0.6000000000000001,2.5,52.76719717299937,5276.719717299937,26729.649999999998,21452.940000000002,1.2459667532748422,1.2334554356746634,18.983691472736762,144.0,55.0,89.0,38.19444444444444,2601.66,0.0,28.562882468249974,2856.2882468249973,10044.96,7188.680000000001,1.3973302469994489,1.6822422756486044,11.602541863171835,54.0,24.0,30.0,44.44444444444444,883.83,0.0
190,0.5369987355799617,109,16,63.0,32.0,11,16,3.6,19,23,1.8,2.4000000000000004,0.025,0.6000000000000001,2.5,50.65004569264969,5065.004569264969,21819.79,16754.77,1.3023031650091288,1.2894522950170109,26.630849946109166,118.0,44.0,74.0,37.28813559322034,2010.29,0.0,29.24849482655012,2924.8494826550123,9351.99,6427.140000000001,1.4550779973674135,1.8201067896750704,10.897091045163723,51.0,21.0,30.0,41.1764705882353,850.74,0.0
