stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
1b_narrow,371,0.4406510646519147,True,78,13,74.0,30.0,21,17,3.4000000000000004,18,39,1.5,4.0,1.0,0.015,0.5,33.650739951699904,1.4231369417741255,1.48736500326987,12.603723158505971,124,34,90,27.419354838709676,11317.71,7952.65,3365.0599999999995,777.46,0,0,32.73973902680004,2.380110105974893,2.9305272369978828,6.224081454457023,50,19,31,38.0,5646.24,2372.26,3273.9799999999996,285.59,0,0,0.0982192170804001,0.25,-0.0,0.03968253968253968,0.033650739951699905,0.021156847088706278,-0.002058279151431233,
1b_narrow,372,0.3820515428357851,True,77,13,74.0,29.0,21,17,3.4000000000000004,18,40,1.5,3.9,1.0,0.015,0.5,19.936275239549868,1.247317363635236,0.9533759612563465,13.162980189022274,126,32,94,25.396825396825395,10054.75,8061.1,1993.6499999999996,748.54,0,0,29.10911154974996,2.206493086640804,2.659520997393686,6.224257329982611,51,19,32,37.254901960784316,5323.650000000001,2412.7200000000003,2910.9300000000003,287.1,0,0,0.08732733464924988,0.25,-0.0,0.04047619047619048,0.01993627523954987,0.012365868181761797,-0.028054125710966927,
1b_narrow,373,0.3573461621631544,True,78,13,74.0,31.0,21,17,3.3000000000000003,18,39,1.5,4.0,1.0,0.015,0.5,15.946751495049938,1.229612222946967,0.8326249306473581,13.13697972294624,118,30,88,25.423728813559322,8539.619999999999,6944.970000000001,1594.6499999999978,651.61,0,0,24.91674781630001,2.1408145044983176,2.4507668483337057,6.918908150032331,48,17,31,35.416666666666664,4675.86,2184.1499999999996,2491.71,269.71,0,0,0.07475024344890004,0.25,-0.0,0.0380952380952381,0.015946751495049937,0.011480611147348352,-0.032926682023382045,
1b_narrow,374,0.41661367284138134,True,79,13,74.0,30.0,21,17,3.4000000000000004,18,40,1.5,4.0,1.0,0.015,0.5,27.082102208399846,1.3423150475944905,1.2150349266114866,12.602616134721675,123,33,90,26.829268292682926,10619.9,7911.63,2708.2699999999995,742.89,0,0,30.744322412599995,2.2734461077100225,2.780321262488135,6.224490684729023,50,18,32,36.0,5488.69,2414.26,3074.4299999999994,282.06,0,0,0.09223296723779999,0.25,-0.0,0.03968253968253968,0.027082102208399846,0.017115752379724524,-0.009499688667082668,
1b_narrow,375,0.4406510646519147,True,78,13,74.0,29.0,21,17,3.4000000000000004,18,39,1.5,4.0,1.0,0.015,0.5,33.650739951699904,1.4231369417741255,1.48736500326987,12.603723158505971,124,34,90,27.419354838709676,11317.71,7952.65,3365.0599999999995,777.46,0,0,32.73973902680004,2.380110105974893,2.9305272369978828,6.224081454457023,50,19,31,38.0,5646.24,2372.26,3273.9799999999996,285.59,0,0,0.0982192170804001,0.25,-0.0,0.03968253968253968,0.033650739951699905,0.021156847088706278,-0.002058279151431233,
1b_narrow,376,0.4406510646519147,True,78,13,74.0,28.0,21,17,3.4000000000000004,18,39,1.5,4.0,1.0,0.015,0.5,33.650739951699904,1.4231369417741255,1.48736500326987,12.603723158505971,124,34,90,27.419354838709676,11317.71,7952.65,3365.0599999999995,777.46,0,0,32.73973902680004,2.380110105974893,2.9305272369978828,6.224081454457023,50,19,31,38.0,5646.24,2372.26,3273.9799999999996,285.59,0,0,0.0982192170804001,0.25,-0.0,0.03968253968253968,0.033650739951699905,0.021156847088706278,-0.002058279151431233,
1b_narrow,377,0.39335405925607214,True,90,13,74.0,29.0,21,17,3.6,18,39,1.5,4.0,1.0,0.015,0.5,33.128515113199775,1.4137174855355983,1.3572207785520074,8.627600136305043,126,36,90,28.571428571428573,11320.470000000001,8007.59,3312.880000000001,753.0,0,2,24.900830305249965,1.9793402893854,2.3490304457194537,5.893462034862549,52,16,36,30.76923076923077,5032.73,2542.63,2490.0999999999995,294.45,0,0,0.07470249091574989,0.24483507234635,-0.0,0.04126984126984127,0.03312851511319977,0.020685874276779915,-0.021267734665848692,
1b_narrow,378,0.4202533832642147,True,79,13,74.0,30.0,21,17,3.4000000000000004,18,39,1.5,3.9,1.0,0.015,0.5,36.607385288849834,1.4557907659514067,1.592583467285869,12.71107944824995,124,36,88,29.032258064516128,11692.3,8031.58,3660.7199999999993,787.31,0,0,29.28280882739997,2.2251294881557033,2.6709198309093813,6.223518167946436,50,18,32,36.0,5318.46,2390.1800000000003,2928.2799999999997,280.35,0,0,0.08784842648219991,0.25,-0.0,0.03968253968253968,0.03660738528884984,0.022789538297570335,-0.016674506486945108,
1b_narrow,379,0.3398404304473346,True,77,13,74.0,30.0,21,17,3.5,18,38,1.5,4.0,1.0,0.015,0.5,16.581197399699867,1.19619935630443,0.7851129367331922,16.390480424947153,131,32,99,24.427480916030536,10109.32,8451.2,1658.119999999999,753.3,0,0,25.64698609359997,1.8938922890323302,2.334760420712123,7.191678419072689,57,20,37,35.08771929824562,5433.88,2869.16,2564.7200000000003,314.4,0,0,0.07694095828079991,0.22347307225808255,-0.0,0.045238095238095244,0.01658119739969987,0.009809967815221499,-0.032202860544564504,
1b_narrow,380,0.4148016279955324,True,77,13,74.0,31.0,21,17,3.4000000000000004,18,38,1.5,4.0,1.0,0.015,0.5,26.262238048299896,1.3198898863539472,1.2103714277209883,14.227374341000226,124,32,92,25.806451612903224,10835.900000000001,8209.7,2626.2000000000007,764.46,0,0,32.06938613360002,2.3345901270943092,2.8788312634439492,6.224081454457023,52,20,32,38.46153846153846,5609.879999999999,2402.94,3206.939999999999,295.26,0,0,0.09620815840080006,0.25,-0.0,0.04126984126984127,0.0262622380482999,0.015994494317697363,-0.014933104041106215,
