trial,score,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_net_pnl,tr_gross_profit,tr_gross_loss,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_fees,tr_blocked,va_return_pct,va_net_pnl,va_gross_profit,va_gross_loss,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_fees,va_blocked
254,0.33354077525196923,36,10,63.0,20.0,8,11,2.9000000000000004,19,28,1.5,2.2,0.024,0.6000000000000001,4.0,35.57076960639957,3557.076960639957,40409.12999999999,36852.09,1.0965220697116498,0.7790240996081318,31.399492450885774,193.0,72.0,121.0,37.30569948186528,4989.12,0.0,11.980658685200233,1198.0658685200233,11783.7,10585.619999999999,1.113179955448996,0.710670022422399,33.15540030067101,80.0,32.0,48.0,40.0,1637.16,0.0
199,0.3297503510044749,40,9,62.0,20.0,9,10,3.0,20,29,1.5,2.3,0.023000000000000003,0.6000000000000001,5.0,18.343027863099888,1834.3027863099887,33498.869999999995,31664.519999999997,1.0579307692016173,0.5124952427862813,29.147399204394375,188.0,66.0,122.0,35.1063829787234,4537.42,0.0,56.64377230109998,5664.377230109998,15731.789999999999,10067.390000000001,1.5626483130185675,2.3609128398465065,15.147530532157974,64.0,28.0,36.0,43.75,1946.14,0.0
235,0.32584772427444664,45,10,64.0,20.0,8,10,2.7,20,30,1.5,2.4000000000000004,0.024,0.65,4.5,19.235521930749947,1923.5521930749946,27954.440000000002,26030.83,1.073897374766767,0.5347940520383947,31.190853852845773,164.0,57.0,107.0,34.75609756097561,3552.25,0.0,52.35654356020021,5235.654356020021,17100.14,11864.449999999999,1.441292263863896,2.0173112984771016,24.64634343085709,71.0,29.0,42.0,40.84507042253521,2021.71,0.0
129,0.3250979491269907,48,8,65.0,30.0,13,8,2.4000000000000004,20,23,1.4,2.8,0.013000000000000001,0.35,2.0,36.63510841360002,3663.510841360003,13715.64,10052.099999999999,1.3644551884680813,1.7130011564752436,8.685343931037188,162.0,55.0,107.0,33.95061728395062,1373.26,0.0,8.13819707184999,813.8197071849991,3484.0,2670.189999999999,1.3047760646246152,1.0668263523120254,6.068512720389318,55.0,18.0,37.0,32.72727272727273,384.82,0.0
101,0.3200122254560965,49,9,63.0,27.0,13,7,1.9,7,26,1.2000000000000002,3.4000000000000004,0.03,0.35,2.5,25.16723823759992,2516.7238237599922,10013.400000000001,7496.679999999999,1.3357112748576707,1.2881719526295987,9.81355886872485,121.0,40.0,81.0,33.05785123966942,1250.38,0.0,15.287277558550013,1528.7277558550013,3879.5699999999997,2350.83,1.6502979798624315,2.097397994553572,4.759443299158475,43.0,14.0,29.0,32.55813953488372,412.42,0.0
253,0.31507315273381653,40,10,63.0,21.0,9,10,2.8,15,27,1.5,2.4000000000000004,0.025,0.65,4.0,23.164498440399655,2316.4498440399657,38018.49,35701.979999999996,1.0648846366504043,0.5801949222565564,35.94556591780464,194.0,67.0,127.0,34.5360824742268,4993.51,0.0,39.14115129105023,3914.115129105023,15045.03,11130.960000000001,1.351638133638069,1.677871624253115,30.654446309169103,74.0,31.0,43.0,41.891891891891895,1878.28,0.0
131,0.31432378869588884,45,8,65.0,29.0,13,8,2.4000000000000004,19,23,1.4,2.8,0.013000000000000001,0.35,2.0,32.36025754919998,3236.025754919998,13175.160000000002,9939.08,1.3255915034389503,1.551584896033773,7.49020734887006,168.0,57.0,111.0,33.92857142857143,1369.22,0.0,8.190158401550034,819.0158401550034,3672.61,2853.6,1.2870093916456407,1.0579251626892112,6.813003615726271,60.0,20.0,40.0,33.333333333333336,415.87,0.0
248,0.3123324741867006,36,12,64.0,20.0,7,10,2.8,20,27,1.6,2.3,0.024,0.65,4.0,20.81140980999997,2081.140980999997,36760.4,34679.21000000001,1.0600126127440619,0.5396523456158923,35.914665832760726,207.0,74.0,133.0,35.7487922705314,4285.11,0.0,44.556242320500026,4455.624232050002,17498.11,13042.51,1.341621359692268,1.696097602398346,21.059128509720207,85.0,35.0,50.0,41.1764705882353,1947.34,0.0
192,0.3097147033300796,40,9,62.0,20.0,10,9,3.1,20,29,1.6,2.4000000000000004,0.021,0.6000000000000001,5.0,9.296801587499813,929.6801587499813,28907.080000000005,27977.36,1.0332311554771432,0.3568976308403178,23.82466809209585,178.0,60.0,118.0,33.70786516853933,3771.77,0.0,74.48969837595024,7448.969837595025,17040.58,9591.58,1.7766186592824125,2.96905036853034,13.865469829786429,61.0,28.0,33.0,45.90163934426229,1855.48,0.0
226,0.30934500307523227,45,11,64.0,20.0,8,9,2.7,20,30,1.5,2.5,0.024,0.7,4.0,16.136250963000165,1613.6250963000166,33321.74,31708.079999999998,1.0508911293272882,0.4682192557980259,32.496573872059905,198.0,66.0,132.0,33.333333333333336,4039.2,0.0,55.96372353720033,5596.372353720033,19482.370000000006,13885.99,1.40302347906055,2.004051198041919,19.73071230971027,80.0,31.0,49.0,38.75,2170.18,0.0
