stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
1b_narrow,20,-1.0148011099543772,False,120,17,63.0,23.0,11,9,3.6,13,37,1.1,2.8,1.0,0.015,0.5,8.784600043999834,1.109096441278929,0.5558439250209725,8.50925612993785,221,67,154,30.316742081447963,8930.5,8052.049999999999,878.4500000000007,1157.16,0,4,-1.1782322300001398,0.9691244457024247,-0.10061194662384758,10.587041302396852,90,26,64,28.88888888888889,3697.8300000000004,3815.6400000000003,-117.80999999999995,448.85,0,1,,,,,,,,0.0888066597262636
1b_narrow,21,0.15023678607593924,True,125,16,73.0,25.0,7,4,3.5,17,34,0.7,2.7,1.0,0.015,0.5,6.42900543949976,1.062631885571548,0.3933505100342475,13.00988011660171,214,65,149,30.373831775700936,10907.47,10264.58,642.8899999999994,1182.27,0,3,13.462272751999881,1.3529913050774574,1.3859337398689173,9.862956989239946,82,29,53,35.36585365853659,5159.93,3813.72,1346.2100000000005,423.4,0,9,0.04038681825599964,0.08824782626936434,-0.0,0.06507936507936508,0.006429005439499761,0.0031315942785773987,-0.05303782324686699,
1b_narrow,22,0.09664144894054554,True,126,16,71.0,25.0,7,4,3.4,16,33,0.6,2.7,1.0,0.015,0.5,8.396223523999815,1.083074989733872,0.4886557690689529,14.261594866791539,218,66,152,30.275229357798164,10945.609999999999,10106.050000000001,839.5599999999977,1185.47,0,3,5.297216699999899,1.1165237552629377,0.6258987246440834,14.037243393173188,92,29,63,31.52173913043478,5075.65,4545.9400000000005,529.7099999999991,450.16,0,9,0.015891650099999696,0.02913093881573442,-0.0,0.07301587301587302,0.008396223523999815,0.004153749486693603,-0.033946986001755025,
1b_narrow,23,0.10965151952801125,True,123,16,75.0,25.0,8,6,3.5,17,34,0.7,2.6,1.0,0.015,0.5,3.1022207799997523,1.0310425257486961,0.2281728317730048,12.897622692720665,216,65,151,30.09259259259259,10303.94,9993.71,310.2300000000014,1151.82,0,4,14.038836250999939,1.3772015379531035,1.4580967083506333,9.845886894059724,81,30,51,37.03703703703704,5125.71,3721.8300000000004,1403.8799999999997,418.75,0,6,0.04211650875299982,0.09430038448827588,-0.0,0.0642857142857143,0.0031022207799997524,0.0015521262874348075,-0.0957054350664133,
1b_narrow,24,0.17490644592573074,True,129,17,73.0,26.0,7,5,3.4,15,32,0.8,2.8,1.0,0.015,0.5,14.117820946499796,1.148998598375467,0.7574952470398545,12.684727914709013,195,59,136,30.256410256410255,10886.440000000002,9474.72,1411.720000000003,1101.52,0,2,11.273282608999907,1.2627530685213755,1.2239165861457044,13.267696471827994,89,29,60,32.58426966292135,5417.639999999999,4290.340000000001,1127.2999999999984,445.39,0,8,0.03381984782699972,0.06568826713034387,-0.0,0.07063492063492065,0.014117820946499797,0.0074499299187733466,-0.01680434053180664,
1b_narrow,25,0.04821616314916028,True,129,17,73.0,26.0,7,5,3.4,15,32,0.8,3.0,1.0,0.015,0.5,13.851585087499863,1.144571510278973,0.7300152203955605,13.553300649291106,183,53,130,28.961748633879782,10966.38,9581.21,1385.17,1057.28,0,2,4.360627064999972,1.105403341196489,0.5222598400987665,13.44280542361279,83,23,60,27.710843373493976,4573.540000000001,4137.44,436.1000000000013,408.43,0,8,0.013081881194999914,0.026350835299122244,-0.0,0.06587301587301587,0.013851585087499863,0.007228575513948655,-0.07816972981942627,
1b_narrow,26,0.10349691290864103,True,126,18,73.0,27.0,7,4,3.4,14,33,1.0,2.7,1.0,0.015,0.5,4.272272072499908,1.038675218511092,0.28224196450956074,12.278804697956557,250,78,172,31.2,11473.570000000002,11046.35,427.22000000000116,1330.38,0,3,7.256058198999944,1.1780189746244452,0.8458368530943449,14.402523410717796,88,28,60,31.818181818181817,4801.57,4075.97,725.5999999999999,432.96,0,6,0.021768174596999833,0.04450474365611129,-0.0,0.06984126984126984,0.0042722720724999086,0.0019337609255545953,-0.03882330818379443,
1b_narrow,27,0.10698695459587379,True,118,20,76.0,25.0,8,5,3.6,17,32,0.6,2.6,1.0,0.015,0.5,3.5400453399997605,1.0349290860617162,0.24891712816952977,14.194345665227692,226,71,155,31.41592920353982,10488.820000000002,10134.82,354.0000000000018,1197.33,0,5,12.468655166499902,1.296580759487649,1.300322673376623,9.85994663363894,93,32,61,34.40860215053763,5451.02,4204.150000000001,1246.87,479.75,0,2,0.037405965499499705,0.07414518987191226,-0.0,0.07380952380952381,0.0035400453399997605,0.0017464543030858094,-0.08366022422814756,
1b_narrow,28,0.021763433654314737,True,122,19,70.0,26.0,7,4,3.4,13,34,1.3,2.8,1.0,0.015,0.5,9.398424534499771,1.1061772833781862,0.5415036254076924,9.54591856425975,196,60,136,30.612244897959183,9790.929999999998,8851.14,939.789999999999,1047.41,0,3,2.671850131999927,1.067040886484425,0.37195810821949044,12.147434816499155,83,25,58,30.120481927710845,4252.35,3985.18,267.1700000000005,400.09,0,4,0.00801555039599978,0.01676022162110624,-0.0,0.06587301587301587,0.009398424534499772,0.005308864168909311,-0.08359264293921624,
1b_narrow,29,0.05903280294249052,True,129,17,74.0,24.0,8,6,3.7,15,35,1.0,2.5,1.0,0.015,0.5,1.8056268109998745,1.0166549834898266,0.16154118543358217,13.38907131398238,251,77,174,30.677290836653388,11022.370000000003,10841.800000000001,180.57000000000153,1305.68,0,2,9.93492444849975,1.2583137028543496,1.136779134576236,13.442272635159966,83,28,55,33.734939759036145,4839.55,3846.06,993.4900000000002,418.26,0,5,0.02980477334549925,0.0645784257135874,-0.0,0.06587301587301587,0.0018056268109998747,0.0008327491744913318,-0.10386178797510322,
1b_narrow,30,0.093792381154158,True,112,20,72.0,23.0,7,5,3.5,13,43,1.2000000000000002,2.9,1.0,0.015,0.5,3.6962218244997715,1.0381375958393098,0.2550977383011991,10.542879164490133,223,67,156,30.044843049327355,10060.279999999999,9690.7,369.5799999999981,1167.44,0,4,7.728305599999875,1.1701894786913547,0.8757653551590158,10.77710022864908,95,27,68,28.42105263157895,5313.689999999999,4540.88,772.8099999999986,479.27,0,2,0.023184916799999625,0.042547369672838675,-0.0,0.0753968253968254,0.003696221824499772,0.001906879791965488,-0.05293983233197097,
1b_narrow,31,0.14205721889990353,True,127,16,66.0,21.0,8,6,3.5,16,36,0.7,2.8,1.0,0.015,0.5,14.475017802499696,1.1213306420517222,0.742230640533774,13.679892673236902,252,73,179,28.96825396825397,13377.34,11929.880000000001,1447.4599999999991,1486.38,0,3,9.102420438999852,1.2278415106997052,1.0620137965526655,12.605750625112497,90,32,58,35.55555555555556,4905.1900000000005,3994.97,910.2200000000007,462.18,0,8,0.027307261316999554,0.05696037767492629,-0.0,0.07142857142857144,0.014475017802499697,0.006066532102586109,-0.03418054142567955,
1b_narrow,32,0.059458667674698505,True,129,16,68.0,27.0,9,5,3.5,16,34,0.6,2.8,1.0,0.015,0.5,10.617798636999833,1.1106474905611416,0.5935247374959874,12.86059760214043,203,60,143,29.55665024630542,10657.74,9595.970000000001,1061.7699999999986,1131.16,0,2,4.131453910499913,1.101806927582443,0.5257910590664319,12.135377763694875,90,29,61,32.22222222222222,4471.43,4058.27,413.1600000000003,444.06,0,9,0.012394361731499739,0.02545173189561073,-0.0,0.07142857142857144,0.010617798636999833,0.005532374528057083,-0.06596617054604031,
1b_narrow,33,0.038543871509825786,True,127,16,74.0,25.0,8,7,3.4,16,38,0.5,3.0,1.0,0.015,0.5,5.904748555499937,1.059473000837066,0.35356574205656854,16.046748440685946,190,51,139,26.842105263157894,10517.949999999997,9927.529999999999,590.4199999999983,1057.24,0,3,2.401445314499815,1.0540176483287158,0.32482299678355575,13.443080149554678,91,27,64,29.67032967032967,4687.09,4446.88,240.21000000000004,444.9,0,7,0.0072043359434994445,0.013504412082178952,-0.0,0.07222222222222223,0.005904748555499937,0.0029736500418533042,-0.06326549733542808,
1b_narrow,34,0.0910390591962854,True,125,17,72.0,26.0,9,5,3.6,9,35,0.8,2.9,1.0,0.015,0.5,2.916363954999688,1.029005904023807,0.2165738440704421,15.092991773179742,241,72,169,29.87551867219917,10345.79,10054.16,291.630000000001,1283.55,0,3,9.821370777999928,1.220754203819795,1.0960516778916947,12.571374490517446,105,31,74,29.523809523809526,5431.05,4448.93,982.1199999999999,542.21,0,9,0.02946411233399978,0.055188550954948734,-0.0,0.08333333333333334,0.002916363954999688,0.0014502952011903548,-0.08131359658218651,
1b_narrow,35,0.08462052315381445,True,128,18,70.0,27.0,7,7,3.4,15,39,0.7,2.7,1.0,0.015,0.5,11.698966238999656,1.1215530578931454,0.6519605750661533,13.60097466297678,213,66,147,30.985915492957748,10793.95,9624.11,1169.8400000000001,1184.43,0,1,5.4327097464999135,1.1264071218163798,0.6543897781676192,13.134549637523143,93,30,63,32.25806451612903,4841.05,4297.78,543.2700000000004,458.8,0,7,0.01629812923949974,0.03160178045409495,-0.0,0.07380952380952381,0.011698966238999657,0.006077652894657271,-0.05486552948296099,
1b_narrow,36,0.14707397552637275,True,115,21,76.0,28.0,8,6,3.8,17,33,0.5,2.8,1.0,0.015,0.5,7.216939295499815,1.07167278537389,0.41873624119886627,12.983207580202313,206,64,142,31.067961165048544,10791.970000000001,10070.21,721.760000000002,1122.32,0,9,10.000628725499901,1.2236797079958939,1.0399646931620123,9.432846104436987,94,30,64,31.914893617021278,5471.280000000001,4471.17,1000.1100000000006,486.2,0,1,0.030001886176499702,0.05591992699897347,-0.0,0.0746031746031746,0.007216939295499815,0.0035836392686945055,-0.024251590816469343,
1b_narrow,37,0.15521922306831004,True,128,16,65.0,23.0,10,4,4.0,16,35,0.6,2.5,1.0,0.015,0.5,10.648048640499692,1.0892237821713318,0.5885134545048293,11.880002997728058,276,84,192,30.434782608695652,12998.960000000001,11934.150000000001,1064.8099999999995,1523.47,0,1,8.530945592999888,1.2195386207003043,1.0420579087762174,12.12097798292951,96,36,60,37.5,4738.81,3885.74,853.0700000000006,488.86,0,9,0.025592836778999668,0.05488465517507607,-0.0,0.0761904761904762,0.010648048640499692,0.004461189108566588,-0.01655798282530817,
1b_narrow,38,0.08838969313705299,True,125,17,67.0,23.0,11,4,4.0,15,32,0.6,2.5,1.0,0.015,0.5,9.932021065499848,1.0961559500239617,0.5716093471915429,12.53603408542936,240,76,164,31.666666666666668,11322.14,10328.95,993.1899999999987,1319.91,0,3,5.083800484499825,1.1225564761668283,0.6313033999530042,13.429490796385013,96,33,63,34.375,4656.599999999999,4148.210000000001,508.3899999999985,477.24,0,9,0.015251401453499475,0.030639119041707075,-0.0,0.0761904761904762,0.009932021065499848,0.004807797501198086,-0.0484311221153277,
1b_narrow,39,-1.0211920622950001,False,128,16,65.0,24.0,10,4,3.9,8,37,0.5,2.5,1.0,0.015,0.5,-12.715237377000049,0.8878112262003496,-0.641110304482575,20.570790344171147,332,94,238,28.313253012048193,10062.63,11334.199999999997,-1271.569999999998,1598.44,0,1,3.7979060334997303,1.096725398470545,0.5346816878594757,13.014750536991981,117,42,75,35.8974358974359,4306.719999999999,3926.890000000001,379.82999999999856,586.37,0,9,,,,,,,,0.1271523737700005
1b_narrow,40,0.09948028917044825,True,126,18,70.0,22.0,12,5,3.8,16,40,0.9,2.6,1.0,0.015,0.5,4.132129145999752,1.0365853334596555,0.2732175556415991,14.034594151935096,251,80,171,31.872509960159363,11707.06,11293.87,413.1899999999987,1332.78,0,3,8.131965763999979,1.1864629071273805,0.9194880361649588,12.463837870616912,90,30,60,33.333333333333336,5174.58,4361.349999999999,813.2300000000005,445.29,0,8,0.024395897291999938,0.04661572678184511,-0.0,0.07142857142857144,0.004132129145999751,0.0018292666729827767,-0.04892130215095076,
1b_narrow,41,0.18759007098247601,True,128,16,65.0,26.0,10,4,3.9,16,36,0.7,2.5,1.0,0.015,0.5,10.041060141499674,1.0861990818159029,0.5673160309122273,13.652891969939684,269,83,186,30.855018587360593,12653.22,11649.080000000002,1004.1399999999976,1509.62,0,1,11.037394356999867,1.2999793440092193,1.32246621850336,11.79823039437786,91,36,55,39.56043956043956,4783.04,3679.3199999999993,1103.7200000000007,468.33,0,9,0.0331121830709996,0.07499483600230483,-0.0,0.07222222222222223,0.010041060141499676,0.004309954090795143,-0.00709018454534546,
1b_narrow,42,0.1216191577444619,True,128,16,63.0,26.0,10,4,3.9,17,35,0.6,2.5,1.0,0.015,0.5,10.598278610999824,1.0892917773514674,0.6095193301721722,13.758241154297494,286,91,195,31.818181818181817,12929.119999999999,11869.29,1059.829999999998,1618.23,0,1,6.641529238999882,1.1762977317069934,0.8522420404076517,11.503153626546968,97,36,61,37.11340206185567,4431.290000000001,3767.1500000000005,664.1400000000003,488.43,0,9,0.019924587716999648,0.04407443292674834,-0.0,0.07698412698412699,0.010598278610999825,0.004464588867573372,-0.03442685736198627,
1b_narrow,43,0.08308187827948038,True,129,16,65.0,25.0,10,4,4.0,16,34,0.8,2.5,1.0,0.015,0.5,14.035886359999806,1.1270061024605293,0.7599061242080664,10.721257547205418,254,82,172,32.28346456692913,12454.859999999999,11051.28,1403.579999999998,1420.84,0,2,5.707218565999901,1.1592168328488288,0.7475372141059932,12.583426235670956,87,33,54,37.93103448275862,4155.12,3584.4200000000005,570.6999999999994,436.64,0,8,0.017121655697999703,0.039804208212207204,-0.0,0.06904761904761905,0.014035886359999805,0.006350305123026468,-0.06327779616137184,
1b_narrow,44,0.16469189518850302,True,127,16,66.0,26.0,11,5,3.9,15,36,0.7,2.6,1.0,0.015,0.5,8.271566811499905,1.0691266922948355,0.4751570713515845,14.280431560738496,270,82,188,30.37037037037037,12793.17,11966.0,827.1700000000001,1523.51,0,3,8.428189528499898,1.2147576447086466,1.0120098567329925,13.204816169371874,95,35,60,36.8421052631579,4767.450000000001,3924.6099999999997,842.840000000001,479.64,0,9,0.025284568585499694,0.05368941117716164,-0.0,0.0753968253968254,0.008271566811499906,0.003456334614741774,-0.0014068113972253997,
