trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,tr_on_head_dropped,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked,va_on_head_dropped,c_gate_shortfall,c_valid_trade_ratio,c_va_pf,c_va_netpnl,c_va_dd,c_tr_pf,c_tr_netpnl,c_tr_dd,c_reason
92,0.15755844276340245,True,12,2.8,1.0,18,1.3,0.0,27.622381828499528,1.1446347178406397,0.747418274041924,24.147143801080016,124,41,83,33.064516129032256,21860.52,19098.250000000004,2762.269999999997,2000.05,1325,0,55.99863987599991,1.7792362486206528,2.2444914303247754,16.31262239884938,52.0,21.0,31.0,40.38461538461539,12786.25,7186.37,5599.88,776.35,499.0,2.0,,0.65,0.10407500812572572,0.059822064469731186,0.030831416569320445,0.0024050131670191183,-0.045918405795645496,0.0063433462272514856,
130,0.15738902149683842,True,10,2.6,0.5,20,1.1,0.04,37.65737126549941,1.1643946249810648,0.9106321584952166,24.45872137293217,151,49,102,32.450331125827816,26672.45,22906.709999999995,3765.7400000000052,2662.66,1060,1,55.20901739349989,1.6877690062449933,2.169406444488091,17.438855188146103,59.0,23.0,36.0,38.983050847457626,13548.109999999999,8027.2300000000005,5520.879999999998,878.89,400.0,3.0,,0.7375,0.07549149488333212,0.05615663894398613,0.022603949345954815,0.006109995755848821,-0.008107924801302211,0.0051348673690187465,
103,0.1555978144695855,True,16,2.5,1.2000000000000002,17,1.05,0.02,60.89457760699959,1.3342558646700329,1.3164867052458806,15.917001512777116,109,38,71,34.862385321100916,24307.460000000003,18217.989999999994,6089.470000000008,1917.35,1347,0,35.30406457149988,1.4797157376960075,1.644753374031096,17.022427605760647,55.0,20.0,35.0,36.36363636363637,10889.819999999998,7359.4,3530.4199999999983,735.48,504.0,4.0,,0.6875,0.010474848461774072,-0.036196309055689074,0.025646077330100252,0.03795897819753033,0.07944959959004451,0.03826461994582542,
101,0.15369694151723362,True,16,2.4,1.2000000000000002,17,1.05,0.02,57.68467527199973,1.3278098162856147,1.2688660270433874,15.889198876229225,106,37,69,34.905660377358494,23365.310000000005,17596.879999999997,5768.430000000008,1821.74,1377,0,36.65718466249993,1.4957735887843897,1.6999074226657422,17.022427605760647,55.0,20.0,35.0,36.36363636363637,11059.720000000001,7393.98,3665.7400000000016,740.55,512.0,4.0,,0.6875,0.01549292692689351,-0.029917759914628035,0.025646077330100252,0.03675034412545192,0.06735289832501028,0.03837245472440569,
142,0.13595485195247506,True,12,2.5,0.0,19,1.25,0.06,50.09402300849952,1.246509833485718,1.15560104033315,22.510737071420124,140,50,90,35.714285714285715,25330.8,20321.379999999997,5009.420000000002,2491.88,1176,1,47.403213073499955,1.5999425413917132,2.0246014300761934,21.215165685561086,61.0,24.0,37.0,39.34426229508197,12641.689999999999,7901.34,4740.3499999999985,860.16,463.0,4.0,,0.7625,0.048045724616682106,0.019941770771711144,-0.0049831278000895,0.021506597350471307,0.038753604694392055,0.012690282319307947,
114,0.13375431754212386,True,15,2.6,1.2000000000000002,19,0.9500000000000001,0.04,55.03682596599959,1.3012691348698708,1.218775381745381,16.19712727171614,110,38,72,34.54545454545455,23772.040000000005,18268.35,5503.690000000006,1884.97,1305,1,39.294897133999854,1.4972451825493645,1.7813912171233055,19.280224211374907,59.0,23.0,36.0,38.983050847457626,11832.010000000002,7902.5199999999995,3929.4900000000025,794.9,475.0,4.0,,0.7375,0.015952799978448118,-0.017680342415700944,0.009152198137222827,0.03177396635999995,0.057377565989771145,0.03717812949238275,
63,0.13303813494032363,True,12,2.8,0.8,18,1.2000000000000002,0.03,30.38498156099964,1.151765587905784,0.7985377467406437,23.786722958309856,133,45,88,33.83458646616541,23059.280000000002,20020.81,3038.470000000001,2194.11,1231,0,53.88108500899994,1.6901586512720541,2.1534118899851404,16.31262239884938,58.0,23.0,35.0,39.6551724137931,13195.17,7807.059999999999,5388.1100000000015,863.06,472.0,2.0,,0.725,0.07623825895428864,0.04999640417116146,0.030831416569320445,0.0037420513042336623,-0.03551126372798259,0.00774126766930201,
106,0.1276536689884212,True,14,2.6,1.3,18,1.0,0.07,31.709796564999728,1.1916108720874021,0.8266564631915726,19.785015488784403,103,34,69,33.00970873786408,19719.73,16548.8,3170.9300000000003,1564.99,1416,1,51.56114439249985,1.6983895217326523,2.215723383012797,19.75898540398436,56.0,23.0,33.0,41.07142857142857,12539.039999999999,7382.9,5156.139999999999,780.49,529.0,2.0,,0.7,0.07881040597322558,0.03923350848499603,0.005654704495190405,0.011213042088287065,-0.030520206384453998,0.023262214331176118,
28,0.12005721661876788,True,25,2.7,0.9,10,1.1,0.03,51.0820452739997,1.2610111916904654,1.1757389343811773,22.066513820485,133,45,88,33.83458646616541,24678.960000000006,19570.769999999997,5108.19000000001,2239.99,1243,0,40.314272407999724,1.5398247744737943,1.8327580620526414,17.43482628025958,61.0,25.0,36.0,40.98360655737705,11499.55,7468.090000000001,4031.459999999998,852.66,504.0,5.0,,0.7625,0.029258922454832442,-0.012949159620002218,0.022633381722544598,0.024225602013861425,0.042475231855952984,0.014413238191578644,
44,0.11712190564780792,True,10,2.7,0.9,18,0.8500000000000001,0.0,54.05030830349964,1.22042935985896,1.135115890950923,24.080173821159466,145,51,94,35.172413793103445,29925.770000000004,24520.690000000002,5405.080000000002,2619.35,1054,1,42.43886484099981,1.5124554730423239,1.7941966097956195,17.435736562319654,62.0,23.0,39.0,37.096774193548384,12525.400000000001,8281.499999999998,4243.900000000003,887.15,376.0,2.0,,0.775,0.020706015757497934,-0.0030924128011505635,0.022626731839958624,0.016616508545454156,0.05366196758538206,0.006603094720665699,
